"ID";"lematized text";"Nick";"URL";"Date";"Time";
"10";"полиция проверять типография печататься агитпродукция полиция подозрение скрывать подкуп сторонник агитпродукция печататься туалетный бумага долларовый купить купить евро типография изымать образец валюта использовать агитпродукция навальный грозить снятие выбор тюремный срок расстрел конец страна ";"yurayakunin";"http://yurayakunin.livejournal.com/1278403.html";"22.08.2013";"23:08:00";
"11";"предсказание ";"sagetator";"http://sagetator.livejournal.com/433774.html";"19.08.2013";"15:22:00";
"12";"00000 ";"snaf_omsk";"http://snaf-omsk.livejournal.com/1134536.html";"19.08.2013";"8:58:00";
"13";"вечер пролетать промчаться нашуметь свидание совершенно неповторимый лень конец быстро невозвратимый лень сердечный вечер ";"stolyarova";"http://stolyarova.livejournal.com/792863.html";"21.08.2013";"18:41:00";
"14";"00000 ";"jurashz";"http://jurashz.livejournal.com/1787003.html";"25.08.2013";"13:30:00";
"15";"купальник девочка собирать просмотр комментарий хвастаться фотография машин машин стиральный швейный выбирать удачный кадр интересный машин ездить старое туссане время менять временить выкладывать фотка авто коментом уровень собирать число решать принимать авто средства транспорт голосовалку приз придумывать постараться хороший ";"ace1962";"http://ilyavaliev.livejournal.com/6281500.html";"20.08.2013";"12:38:00";
"16";"максим вернуться тренировка болезнь старательный выполнять упражнение соскучиться футбол запись приложение livejournal android ";"lastwitch";"http://lastwitch.livejournal.com/1063767.html";"28.01.2013";"18:53:00";
"17";"помнить случайный подниматься сильный ураган ураган сильный выплескивать озеро вспять повертывать речь рушить скал вершина выплескивать ураган красивый озеро кёлюкон лебединый озеро плавать лебедь стая стремительно взметываться вверх спасаться гибель успевать взлетать молодая лебедь ударяться скал разбиваться пена белая закружиться подруга схватывать клюв пена кружить озеро место разбиваться лебедь наутро ураган стая озеро пер клюв кружить одинокая лебедь обессилевать упасть озеро утопать ветер уносить пена друг берег упасть место случайный забирать земля чистый прозрачный клюв клюв наполнять сухая лощина дно высохший озеро заплескаться стая подруга лебедь озеро слышный особенно ветреный погода озеро лебединый светлый небольшой водоем длина максимальный ширина располагать бассейн речь кокша юг садиться урожайный лебедь облюбовывать озеро качество зимовье перезимовать особый численность лебедь расти время озеро зимовать лебедь способствовать образование заказник лебединый создавать сохранение естественный место зимовье лебедь кликун поздний зона покоить водоплавающий охотничий птица животное промысел лебедь озеро зимовать дикий утро разный кряква гоголь красноголовый хохлатый чернеть чирков шилохвостый серый гусь численность образование заказник возрастать зима озеро восхитительный зрелище синий гладить обрамление белоснежный берег пушистый дерево клубиться паб создавать ощущение легкий нереальность изящный горделивый птица берег озеро обзор построить смотровой площадка высота открываться живописный озеро наблюдать поведение птица процесс подкормка мешать естественный жизнедеятельность ";"ambienist";"http://politolog-alt.livejournal.com/286301.html";"21.08.2013";"17:56:00";
"18";"сексуальный сношение водоем подозрительно ряд волноваться рассказывать романтик красное подозрительно брат приезжать рассказывать история больница друг брат друг решать помечать приятный жена ванна комната друг рассказывать раздеваться набрасываться друг друг шерсть клочок полететь уединяться решать ванна романтик подхватывать жена рука понестись начало друг грамотно разбивать зеркало раковина подскользнулся башка жена ограничиваться ужас содеять подхватывать жена жопа усаживать раковина всплескивать рука шов лысая жена наложение шов выбривать башка пятить шов жопа раковина рухнуть нахер пропарывать попис охрененно длинный шрам муж правда икра обломок раковина вскрывать крутой консерва долечиваться муж приходиться челюстно-лицевой хирургия порыв жена угандошила стальной ведерко бумага неумный жописа чуй родиться научный диссертация сложный икра быстро зашивать день стягивать пришивать смог выковыривать ведро занятие простой любить всовывать ведро сурьезный аргумент поставщик научный диссертация продвигать наука взяться грамотный персонаж лежать соседний отделение нейрологии челюстно-лицевой злость сушка приносить анекдот погрызть дорога ыыы отвечать муж орешек принятие муж промолчать разводиться любить подарить интересный момент выписываться любить хороший брат алаверды вспоминать эдак короткий товарищ ездить турция подруга разговаривать решать полюбиться бассейн вечерком поздний приступать затылок товарищ тыкаться обертываться натуральнее динозавр ухмылка забывать затейник турка убирать надувной фигурка плавучки дитя бассейн наливаться свежий водичка течение прибивать товарищ суровый разный место падение настроение мужской сидр схватывать динозаврика горин путч кинуть число автомат учить динозаврик живой охренел прием погда перемалывать костить поясница борьба бассейн шевелиться проблематичный неживой надувной хвост впечататься молодая подруга родить рассчитывать товарищ масса оценивать подруга булькнуть утопать хороший динозаврика уцепляться гребень разный пластиковый шип товарищ рука уронить подымать выматериться сидр бросать хуй борьба подруга всплывать красивый рожица разный подруга булькать бескомпромиссный уходить вытаскивать откачивать день медицинский час проходить переселяться отделение номер товарищ дикий смесь русский английский местами турецкий крайн сурово спрашивать администрация собстна бассейн немного нога волновайтесь быстро убивать послушать орать приятно домой товарищ подруга помириться зреть откачивать молодая красивый женский решать товарищ нацеливаться нефритовый жена внедрять неделя цвет улыбка романтизьмами заманивать квартира водоем стихия пленять напрочь сексоваться решать ванна короткий порыв хвататься подкуп молодая подруга открывать кран горячий кипяток жопа товарищ немного бедро дальнейший общение затруднять чота складываться философски замечать подруга соседка площадка выходной квартира подруга решать устраивать счастие счастливчик попадать отставник прапорщик старший хлюпкий гамно палка неженатый баба боевитый разводить дитя поехать рыбачить остров саратов клецка накидывать рыбачить друг подруга снаряжать лодка тип казанка отвозить удивляться отсутствие снасть пошутить старое анекдот кондом окно выкидывать гусь давиться прапорщик сурово гусь возражать друг уплывать поджаривать шашлычок приводить угол вечер час нога паб заниматься люблёвью естественный матушка волга волга воспринимать единение юный сервер спокойно ласково подталкивать волга сто высокий приступать катерок компания грохотать музыка прапорщик просыпаться выполнять палатка пойти направление музлу вежливо вспоминать гражданский оборот попросить слегка убавлять музлу правда поржать несильно ударять посылать нахер правда настаивать ебать посылать правда пойти сознавать весовой разница мужик бля спрашивать выполнять палатка подруга упасть привычно отвечать прапорщик етим упасть упад суп поупадают утро костер здоровый мужик варить уха покупать рыба выскакивать разъяренный баба тащить рука тщедушный мужичонка трико гневно спрашивать баба грозно тыкать палка путч мужик тихий подтвердить мужичок трико воодушевлясь тыкнуть палка ржать рыжый нога зад короткий слав поставлять гражданка подниматься начало рыжый дальнейший наблюдать глаз писать классик тщетно пытаться вставать суровый удар печень засылать нога удар желудок пытаться сблевывать сливиста нифига удивляться подумать колян йпть борьба заниматься неграмотный чота упасть колян сложность правильный падение легкий сотрясение гудеть уха аккуратно улечься товарищ затихать выхватывать дрова ножик пытаться контратаковать хуяк подсечка упасть ребро ладонь грудь маш убивать закричать мужчина трико прапорщик старший сидеть мужик методично дубасить лоб хворостина окровавленный мужик схатил правда левый рука потянуть падла правда заказник лежать разный грызло правда тяжелый травма среднее сотрясение шибкий мелочь мелочь мильцанерии начальник стоялый берег подымать палка вертикально махать жена махать взрослый женщина кмс етому кендо бэмби бемби блять тьфу дуло сержант етому рыжый ебнуть заебывать орать отмазывать собственный дочь бля вздыхать стоить скал стоить переофор паб лохматый трикастое существо бодро приглаживать растрепанный волга вставать ряд килограммовый дочка шибкий мелочь маленький начальник начальник молча повертываться вздыхать крикнуть сержант ебнуть орать суп потерпевший жить почесть заводить трус дитя здоровенный суп ротвейлер рита рита бояться махать маленький сидеть считать паб почесть нассыху комната отоваривать родить разговор рита коситься карат глаз гулять ссать ссыкуха правда помнить спадать кухня мудями поседелый утро просыпаться диван ряд зубастый зуб проседина мудях нарисовалась спрыгивать диван гулять полумудия поседеть товарищ кухня входить чаек пропивать утренний доска разделочный близкий палка кинуть рита суп вывести суп течка озабочивать забывать молодая мстить сторона помнить час домой товарищ выгуливать садиться лавка покупать рита курить афганистан задавливать медведь дуло килограмм кутузов выигрывать бородино число ритин выгон чота нюхать подвальный окошко подходить трус затейник поделиться финансы грю ебать заказник правда вставать патологоанатом вставать специалист вызывать ритаааа заорать девка штоле зовеёшь ухмыляться штоле вызывать сцы успевать примерно счерез секунд улыбка сдувать стоить пасан ухмыляться щелкнуть красивый пумпель пасан озабочивать съебываться свешивать язык жаркий власть рита прискакивать разбрызвивая слюна рита здоровенный добродушный слюнявый псина разозлить вкладывать зад терять семьдесят кило тротил разозлиться подрывать нахер ядерный заряд слегка флегматичный вздыхать направляться направлять пинка почесывание холка позвонок балдит нога пластилин промышленный фен рита суп собака научаться убирать падла заниматься падла борьба гамно соскребывать лопатка рита хребет кутить негативный эмоция гражданка пиздетс стараться европа убирать сраньё питомец пасаны познакомиться воздух возникать запах нихуя одеколон драпать устраивать спешивать спячка впадать натуральнее стукач медведь выходной угол напускать запах почесть девяностиколограммовое чудовище выворачивать родить полуподвальный помещение пытаться поймать крыса взгромоздившщись скамейка ряд голос рита нахер блять гавкнуть правда уха день терять слышный плохо контузия подарить команда уха оплошность допускать рита суп драпать пасаны выражение блестеть стоить ритин дуло стоить зализывать нахер вылизывать стоить суп прицеплять кран ошейник поволока рита обиталище рассказывать происшествие махать сурово поглядеть собака цапнуть жизнь собака вздыхать потирать правда лапа суп смущаться плюс коитус плюс сплошной минусья естествоваться хороший доказывать источник напоминать читать добавляться ";"lukilukii";"http://ihoraksjuta.livejournal.com/2024940.html";"23.08.2013";"21:08:00";
"19";"август нацбол бенесс айо организовывать пикет посольство япония лондон протестовать выступать переофор курильский остров японский милитарист ";"rusfront2012";"http://rusfront2012.livejournal.com/62330.html";"24.08.2013";"0:02:00";
"20";"00000 ";"logik_logik";"http://logik-logik.livejournal.com/1035659.html";"22.08.2013";"1:58:00";
"21";"скотики лежбище зеленый полосатик любить ";"exidna_i";"http://exidna-i.livejournal.com/505473.html";"21.08.2013";"14:08:00";
"22";"сегодняшний день вопрос зреть век уходить шаблон государство обязательно горин объединять политическая социально-экономический культурист государство исторически время москва петербург горин государство вклад история горин число технический столичный функция задумываться выносить скобка политическая составлять отправлять государство положительный опыт перенос место история страна момент рассказывать событие жизнь запасной государство великий отечественный война отдельно комментарий интересно мнение москвич питерец ";"gopnikda";"http://sandy-sky.livejournal.com/281776.html";"23.08.2013";"16:55:00";
"23";"август журнал форум порадовать общественность очередной рейтинг модель усердно топтать подкуп сниматься фотосессиях высокий доход место жизель бундхен красивый зарабатывать миллион занимать место модель секунд жизель платить участие показ впятеро товарищ приличный заработки модель составлять гонорар участие рекламный кампания разный товар спортивный одежда вьетнамка ведущий ангел victoria миранда керр пополнять банковский счет миллион благодарить участие показ съемка рекламный кампания mango миранда бренд подработка реклама час липтон место рейтинг ангел адриан землячка жизель бундхен зарабатывать миллион основное гонорар участие рекламный кампания victoria керр модельный мерка ветераншей зарабатывать миллион керр отличие предыдущий лень зарабатывать жизнь хождение подкуп основа доход составлять рекламный кампания гонорар появление разный род богемный тусовка модель китай лин имя фэшн бизнес похвастаться внушительный доход заработки составлять миллион основное лин обогащаться счет выбор коллекция шейный платковый louis vuitton американка хилари род сотрудничать известный бренд chanel donna karan gucci louis vuitton valentino коллаборации приносить миллион место уроженка солнечный флорида каролин мерка ветеранша модельный мил летний топ-модель зарабатывать миллион фэшн трудоголик пуэрториканка джоан благодарить участие рекламный кампания известный бренд полагать банковский счет миллион кэндис свейнпол хроникер писать миранда керр доход белокурый ангел викторий сикрет ощутимо миллион замыкать список высокооплачиваемый модель форум нестандартный королев подкуп лапа нидерландский модель щербинка попадать обломок авторитетный модель глянец богато миллион ";"tabarhsak";"http://tabarhsak.livejournal.com/1154890.html";"22.08.2013";"3:11:00";
"24";"00000 ";"jurashz";"http://jurashz.livejournal.com/1733011.html";"21.08.2013";"9:24:00";
"25";"примерно существовать мил число посчитать определение общий каспийский аральский день соленый озеро саргассовый ионический открывать берег останкинский башка поставлять помещаться марианский желоб наиболее глубокий тихий океан глубоководный земля мелочь азовский помещаться башка чайная ложка солить содержаться килограмм соленый мил красное пресный балтийский килограмм чайная ложка солить балтика разбавлять впадать пресный речь градус цельсий замерзание пресный морской замерзать разный температура высокий соленость температура замерзание черный замерзать температура градус цельсий градус тыс кубический перенашивать среднее гольфстрим объедать годовой стая полноводный речь мил амазонка тыс скорость звук морской среднее соленость промысел температура градус нулевой глубина интересно глубина температура градус скорость звук увеличиваться скорость двигаться северный частить атлантический океан течение гольфстрим нести запах солея сравнение среднее скорость течение южный полушарие варьироваться московская область помещаться площадь саргассовый земной шар берег образованный круговорот атлантический океан место величина занимать филиппинский площадь сравнивать разный московская область атмосфера давление испытывать погружаться глубина давление высота прибавляться давление воздух попытка погружаться глубокий скафандр опасный расплющивать источник ";"znay_obo_vcem";"http://znay-obo-vcem.livejournal.com/484264.html";"24.08.2013";"14:14:00";
"26";"ebay недовольный качество работа россия основное причина недовольство многочисленный жалоба кликун длительный срок поставка пропажа оплачивать отправление оборот компания ebay составлять миллиард россия миллион ежедневно интернет аукцион житель рф совершать тридцать тысяча покупка цифра расти расти препятствие дальнейший безобразный работа россия постоянная проблема россия вынуждать продавец ebay опаска российский покупатель время доставка заграничный посылка россия серьезный перенос отправление зачастую место теряться ломаться красть содержать руководство популярный интернет аукцион озабочиваться поиск генподрядчик организовывать цикл доставка товар сша россия россия включать телефонный линия поддержка русскоязычный кликун слово глава ebay россия владимир целить компания быстрый дешевый доставка страна слово источник ebay общаться ряд игрок рынок частность компания bay оказывать услуга выкуп доставка товар сша россия снг bay вести переговоры ebay вопрос сотрудничество речь доставка товар россия собственный случай dostami express писать отмечать глава российский представительство bay максим андрюхин случай доставка запускать начало июль инвестиция разведка составлять тыс дочь компания осуществлять доставка посылка сша россия течение день дочь партнерство нескольких логистический компания прогноз bay компания обрабатывать закон сумка млн зрение таможенный оформление организовывать доставка товар подрядчик затратнее предупреждать генеральный директор россия иван шацкая покупатель выступать частить организовывать доставка товар единичный экземпляр посылка требовать сертификация оформление дополнительный документ поясница консолидация товар различный содержание таможенный случай рассматривать коммерческий партия оформляться жесткий правило отмечать случай конечный стоимость товар покупатель вырастать процесс связанный физический беспошлинно ввозить товар россия сумка тыс евро место случай юридический таможенный пошлина выплачиваться товар стоимость высокий евро плюс ндс материал сми ранее писать ebay собираться запускать сервер доставка годуоб технология торговля необычный товар технология реклама normal definitions msonormaltable {mso обычный таблица rowband colband noshow priority parent padding height serif ascii ascii minor hansi hansi minor language ";"i_bright";"http://i-bright.livejournal.com/423681.html";"20.08.2013";"18:21:00";
